"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1990-01-01,6776
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1991-01-01,7471
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1992-01-01,8141
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1993-01-01,8701
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1994-01-01,10450
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1995-01-01,11000
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1996-01-01,12000
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1997-01-01,12500
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1998-01-01,12900
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1999-01-01,12347
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2000-01-01,10882
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2001-01-01,10179
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2002-01-01,9593
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",2003-01-01,10000
